ANEXO 1. ORDENAMENTO DAS TAXAS DE ÓBITO POR AF (Homicídios e óbitos por AF; taxas médias 2010/2012 em municípios com mais de 20.000 habitantes). População Total. Brasil. 2010/2012.,,,,,,,,,,,
Município,UF,Popula-,n. homicídios AF,,,n. óbitos AF,,,Tx. Média*,,Posi-ção
Jacaré dos Homens,AL,"5,352",2,1,0,2,1,0,,,
Jacuípe,AL,"6,950",1,2,0,1,2,0,,,
Japaratinga,AL,"7,888",0,2,0,0,2,0,,,
Jaramataia,AL,"5,524",1,0,4,1,0,4,,,
Jequiá da Praia,AL,"11,887",0,3,0,0,3,0,,,
Jundiá,AL,"4,142",0,1,1,0,1,1,,,
Lagoa da Canoa,AL,"17,988",3,9,10,3,9,10,,,
Major Isidoro,AL,"19,087",3,2,9,3,2,9,,,
Mar Vermelho,AL,"3,588",0,1,0,0,1,0,,,
Maravilha,AL,"9,981",4,5,1,4,5,1,,,
Maribondo,AL,"13,389",1,7,7,1,7,7,,,
Messias,AL,"16,292",10,16,8,10,16,8,,,
Minador do Negrão,AL,"5,251",1,2,0,1,2,0,,,
Monteirópolis,AL,"6,952",3,1,1,3,1,1,,,
Novo Lino,AL,"12,303",0,1,0,0,1,0,,,
Olho d'Água do Casado,AL,"8,708",3,2,1,3,2,1,,,
Olho d'Água Grande,AL,"4,967",1,0,0,1,0,0,,,
Olivença,AL,"11,150",3,3,3,3,3,3,,,
Ouro Branco,AL,"10,953",2,0,2,2,0,2,,,
Palestina,AL,"5,201",0,1,1,0,1,1,,,
Pariconha,AL,"10,282",0,1,1,0,1,1,,,
Paripueira,AL,"11,845",5,3,6,5,3,6,,,
Passo de Camaragibe,AL,"14,802",3,2,4,3,2,4,,,
Paulo Jacinto,AL,"7,412",1,7,3,1,7,3,,,
Piaçabuçu,AL,"17,268",7,8,5,7,8,5,,,
Pindoba,AL,"2,857",1,0,0,1,0,0,,,
Poço das Trincheiras,AL,"13,845",2,3,2,2,3,2,,,
Porto de Pedras,AL,"8,156",0,0,2,0,0,2,,,
Porto Real do Colégio,AL,"19,288",7,5,5,7,5,5,,,
Quebrangulo,AL,"11,330",6,2,0,6,2,0,,,
Roteiro,AL,"6,607",1,0,2,1,0,2,,,
Santa Luzia do Norte,AL,"6,967",3,1,1,3,1,1,,,
Santana do Mundaú,AL,"10,792",0,2,3,0,2,3,,,
São Brás,AL,"6,744",1,2,0,1,2,0,,,
São Miguel dos Milagres,AL,"7,360",0,2,2,0,2,2,,,
Satuba,AL,"15,020",4,13,13,4,13,13,,,
Senador Rui Palmeira,AL,"13,209",3,1,1,4,1,1,,,
Tanque d'Arca,AL,"6,172",1,3,0,1,3,0,,,
Taquarana,AL,"18,907",9,9,3,9,9,3,,,
Manaus,AM,"1,861,838",562,767,758,567,772,762,37.4,37.6,166º
Tabatinga,AM,"54,440",13,14,18,14,16,18,27.6,29.4,276º
Rio Preto da Eva,AM,"26,948",6,0,5,7,1,5,13.6,16.1,591º
Coari,AM,"77,305",7,15,13,7,15,13,15.1,15.1,624º
Presidente Figueiredo,AM,"28,652",3,6,1,3,6,1,11.6,11.6,808º
Manicoré,AM,"48,373",3,6,6,3,6,6,10.3,10.3,873º
Careiro,AM,"33,517",1,6,2,1,7,2,9.0,9.9,895º
Boca do Acre,AM,"31,171",1,4,1,1,5,3,6.4,9.6,912º
Manacapuru,AM,"86,985",6,12,3,7,12,3,8.0,8.4,995º
Autazes,AM,"33,312",2,1,2,3,2,3,5.0,8.0,1024º
Iranduba,AM,"41,947",4,2,4,4,2,4,7.9,7.9,1027º
Itacoatiara,AM,"89,064",5,8,8,5,8,8,7.9,7.9,1031º
Benjamin Constant,AM,"34,950",0,4,3,1,4,3,6.7,7.6,1044º
Humaitá,AM,"45,954",0,2,7,1,2,7,6.5,7.3,1068º
Barcelos,AM,"25,948",1,2,1,1,2,2,5.1,6.4,1151º
