ANEXO 1. ORDENAMENTO DAS TAXAS DE ÓBITO POR AF (Homicídios e óbitos por AF; taxas médias 2010/2012 em municípios com mais de 20.000 habitantes). População Total. Brasil. 2010/2012.,,,,,,,,,,,
Município,UF,Popula-,n. homicídios AF,,,n. óbitos AF,,,Tx. Média*,,Posi-ção
São João dos Patos,MA,"25,056",0,0,1,0,1,1,1.3,2.7,1493º
Urbano Santos,MA,"25,356",0,0,0,1,1,0,0.0,2.6,1497º
Anajatuba,MA,"25,955",2,0,0,2,0,0,2.6,2.6,1499º
Tutóia,MA,"54,629",3,1,0,3,1,0,2.4,2.4,1510º
Buriti,MA,"27,449",0,0,1,0,0,2,1.2,2.4,1512º
Timbiras,MA,"28,238",2,0,0,2,0,0,2.4,2.4,1517º
Brejo,MA,"34,242",0,0,0,1,1,0,0.0,1.9,1543º
Icatu,MA,"25,698",0,0,0,0,0,1,0.0,1.3,1595º
Humberto de Campos,MA,"26,933",0,0,0,0,1,0,0.0,1.2,1597º
Arari,MA,"28,809",0,1,0,0,1,0,1.2,1.2,1604º
Araioses,MA,"43,653",0,0,0,0,0,0,0.0,0.0,1627º
Barreirinhas,MA,"58,083",0,0,0,0,0,0,0.0,0.0,1627º
Carutapera,MA,"22,517",0,0,0,0,0,0,0.0,0.0,1627º
Pedro do Rosário,MA,"23,454",0,0,0,0,0,0,0.0,0.0,1627º
Afonso Cunha,MA,"6,090",0,0,0,0,0,0,,,
Água Doce do Maranhão,MA,"11,865",1,0,0,1,0,0,,,
Altamira do Maranhão,MA,"11,381",0,0,0,0,0,0,,,
Alto Parnaíba,MA,"10,856",1,0,0,2,1,0,,,
Amapá do Maranhão,MA,"6,583",0,0,0,0,1,0,,,
Anapurus,MA,"14,492",0,0,2,0,0,2,,,
Apicum-Açu,MA,"15,542",0,0,1,0,0,1,,,
Araguanã,MA,"14,407",0,0,0,0,0,0,,,
Axixá,MA,"11,599",0,0,0,0,0,0,,,
Bacabeira,MA,"15,591",1,1,1,1,1,1,,,
Bacuri,MA,"17,437",0,0,0,0,0,0,,,
Bacurituba,MA,"5,387",0,0,0,0,0,0,,,
Barão de Grajaú,MA,"17,862",0,0,1,0,2,2,,,
Bela Vista do Maranhão,MA,"12,335",0,0,0,0,0,0,,,
Belágua,MA,"6,986",0,0,0,0,0,0,,,
Benedito Leite,MA,"5,497",0,0,0,0,0,0,,,
Bernardo do Mearim,MA,"6,111",0,0,0,0,0,1,,,
Boa Vista do Gurupi,MA,"8,375",2,1,1,4,1,1,,,
Bom Lugar,MA,"15,314",0,0,1,0,0,1,,,
Brejo de Areia,MA,"4,962",1,0,2,2,0,2,,,
Buritirana,MA,"14,930",0,0,0,0,0,0,,,
Cachoeira Grande,MA,"8,607",0,0,0,0,0,0,,,
Cajapió,MA,"10,740",0,0,0,0,0,0,,,
Cajari,MA,"18,603",0,0,0,0,1,0,,,
Campestre do Maranhão,MA,"13,649",0,1,1,0,1,2,,,
Cândido Mendes,MA,"19,222",0,1,0,0,1,0,,,
Capinzal do Norte,MA,"10,722",0,0,0,0,0,1,,,
Cedral,MA,"10,374",0,1,0,0,1,0,,,
Central do Maranhão,MA,"8,120",2,1,0,2,1,0,,,
Centro do Guilherme,MA,"11,979",0,0,1,0,0,1,,,
Centro Novo do Maranhão,MA,"19,947",0,0,0,2,2,2,,,
Cidelândia,MA,"13,963",1,0,1,2,0,2,,,
Conceição do Lago-Açu,MA,"14,989",0,0,4,0,1,5,,,
Davinópolis,MA,"12,625",0,0,1,2,0,2,,,
Duque Bacelar,MA,"10,836",0,0,0,0,0,0,,,
Esperantinópolis,MA,"17,715",2,0,3,2,0,3,,,
Feira Nova do Maranhão,MA,"8,215",1,0,0,1,0,0,,,
Fernando Falcão,MA,"9,584",0,0,0,0,2,0,,,
Formosa da Serra Negra,MA,"17,749",0,0,0,1,0,0,,,
Fortaleza dos Nogueiras,MA,"12,306",0,0,0,1,0,0,,,
Fortuna,MA,"15,174",1,0,0,3,0,2,,,
Godofredo Viana,MA,"10,762",0,0,0,0,0,1,,,
Gonçalves Dias,MA,"17,545",0,0,1,1,0,1,,,
Governador Archer,MA,"10,372",0,0,2,0,0,2,,,
Governador Edison Lobão,MA,"16,651",3,0,0,3,0,0,,,
Governador Eugênio Barros,MA,"16,197",0,0,1,0,0,2,,,
Governador Luiz Rocha,MA,"7,462",1,1,0,1,1,0,,,
Governador Newton Bello,MA,"10,166",2,1,0,2,1,0,,,
Graça Aranha,MA,"6,150",0,0,0,0,1,0,,,
Guimarães,MA,"11,997",0,2,0,0,2,0,,,
Igarapé do Meio,MA,"13,052",0,0,0,2,1,0,,,
Igarapé Grande,MA,"11,289",4,0,1,4,0,1,,,
Itaipava do Grajaú,MA,"13,103",2,4,0,2,4,0,,,
Jatobá,MA,"9,051",0,1,0,0,1,1,,,
Jenipapo dos Vieiras,MA,"15,733",2,1,0,3,1,0,,,
Joselândia,MA,"15,688",0,0,3,0,0,3,,,
Junco do Maranhão,MA,"3,792",3,0,0,3,0,0,,,
Lago do Junco,MA,"10,865",0,0,0,0,0,0,,,
Lago dos Rodrigues,MA,"7,744",0,0,0,0,0,0,,,
Lago Verde,MA,"15,624",2,0,0,2,0,0,,,
Lagoa do Mato,MA,"10,955",0,0,0,1,0,1,,,
Lagoa Grande do Maranhão,MA,"12,501",0,0,1,0,0,1,,,
Lajeado Novo,MA,"7,106",0,0,0,1,0,0,,,
Lima Campos,MA,"11,525",0,0,0,0,0,0,,,
Loreto,MA,"11,597",0,0,0,0,0,0,,,
Luís Domingues,MA,"6,629",0,0,0,1,0,0,,,
Magalhães de Almeida,MA,"18,277",0,0,0,1,0,0,,,
Maracaçumé,MA,"19,887",0,1,0,0,1,1,,,
Marajá do Sena,MA,"7,751",0,0,0,0,2,0,,,
Maranhãozinho,MA,"14,524",1,0,0,1,0,1,,,
Mata Roma,MA,"15,657",0,0,0,0,0,0,,,
Matões do Norte,MA,"14,755",0,0,0,0,0,0,,,
Milagres do Maranhão,MA,"8,195",0,0,0,0,0,0,,,
Mirinzal,MA,"14,402",0,0,0,0,0,0,,,
Montes Altos,MA,"9,272",0,0,0,0,0,0,,,
Morros,MA,"18,265",0,0,0,0,0,1,,,
Nina Rodrigues,MA,"13,095",0,0,0,2,0,0,,,
Nova Colinas,MA,"5,034",0,0,0,0,0,0,,,
Nova Iorque,MA,"4,598",0,0,0,0,0,0,,,
Nova Olinda do Maranhão,MA,"19,659",1,0,0,1,2,2,,,
Olho d'Água das Cunhãs,MA,"18,816",1,0,0,1,0,0,,,
Olinda Nova do Maranhão,MA,"13,643",0,0,0,0,1,1,,,
Palmeirândia,MA,"19,007",1,2,2,1,2,3,,,
Passagem Franca,MA,"17,977",3,0,0,3,1,0,,,
Pastos Bons,MA,"18,461",0,1,0,0,1,0,,,
Paulino Neves,MA,"14,971",0,0,0,0,0,0,,,
Peri Mirim,MA,"13,898",0,1,1,0,1,1,,,
Pirapemas,MA,"17,722",1,2,2,1,2,2,,,
Poção de Pedras,MA,"19,165",0,0,2,0,0,2,,,
Porto Rico do Maranhão,MA,"5,978",0,0,0,0,0,0,,,
Presidente Juscelino,MA,"11,897",0,0,0,0,0,0,,,
Presidente Médici,MA,"6,564",1,0,0,1,0,0,,,
Presidente Sarney,MA,"17,686",0,0,0,0,0,0,,,
Presidente Vargas,MA,"10,964",1,0,1,1,1,1,,,
Primeira Cruz,MA,"14,355",0,0,0,0,0,0,,,
Ribamar Fiquene,MA,"7,444",2,0,0,2,0,0,,,
Sambaíba,MA,"5,522",0,0,0,1,0,0,,,
Santa Filomena do Maranhão,MA,"7,246",0,0,1,0,0,1,,,
Santana do Maranhão,MA,"12,203",0,0,0,0,0,0,,,
Santo Amaro do Maranhão,MA,"14,456",0,0,1,0,0,1,,,
Santo Antônio dos Lopes,MA,"14,294",0,0,0,0,0,1,,,
São Benedito do Rio Preto,MA,"18,004",0,0,2,0,1,4,,,
São Domingos do Azeitão,MA,"7,088",0,0,1,0,1,1,,,
São Félix de Balsas,MA,"4,636",0,1,0,0,2,0,,,
São Francisco do Brejão,MA,"10,745",1,0,0,1,0,0,,,
São Francisco do Maranhão,MA,"11,932",0,0,0,0,0,0,,,
São João do Carú,MA,"15,631",0,3,2,1,3,2,,,
São João do Paraíso,MA,"10,882",0,1,1,1,1,1,,,
São João do Soter,MA,"17,602",0,1,0,0,1,0,,,
São José dos Basílios,MA,"7,506",0,0,0,1,0,1,,,
São Luís Gonzaga do Maranhão,MA,"19,758",0,0,0,0,0,1,,,
São Pedro da Água Branca,MA,"12,195",0,1,0,0,1,0,,,
São Pedro dos Crentes,MA,"4,486",0,0,0,0,0,0,,,
São Raimundo das Mangabeiras,MA,"17,868",0,2,0,0,4,0,,,
São Raimundo do Doca Bezerra,MA,"5,757",0,0,0,0,1,0,,,
São Roberto,MA,"6,193",0,0,1,1,0,1,,,
Satubinha,MA,"12,600",0,0,1,0,0,1,,,
Senador Alexandre Costa,MA,"10,511",1,1,1,1,2,1,,,
Senador La Rocque,MA,"14,447",1,2,0,2,2,0,,,
Serrano do Maranhão,MA,"10,545",0,0,0,0,0,0,,,
Sítio Novo,MA,"17,288",1,0,0,1,0,0,,,
Sucupira do Norte,MA,"10,454",2,0,2,2,0,2,,,
Sucupira do Riachão,MA,"5,466",0,0,0,0,0,0,,,
Tasso Fragoso,MA,"8,008",0,0,0,0,0,0,,,
Trizidela do Vale,MA,"19,339",1,0,2,3,0,3,,,
Tufilândia,MA,"5,651",0,0,1,0,0,1,,,
Vila Nova dos Martírios,MA,"11,946",0,2,0,1,2,0,,,
São Joaquim de Bicas,MG,"26,653",7,15,15,9,17,17,46.3,53.8,60º
Betim,MG,"388,873",185,223,192,186,224,193,51.4,51.7,67º
Esmeraldas,MG,"62,262",24,36,32,24,36,32,49.3,49.3,75º
Juatuba,MG,"23,080",7,8,9,7,10,13,34.7,43.3,109º
Igarapé,MG,"36,363",11,10,15,12,14,20,33.0,42.2,118º
Governador Valadares,MG,"266,190",87,120,121,87,122,123,41.1,41.6,125º
Contagem,MG,"613,815",222,208,272,224,208,275,38.1,38.4,151º
Matozinhos,MG,"34,624",10,13,13,11,13,13,34.7,35.6,189º
Ribeirão das Neves,MG,"303,029",79,135,106,79,137,106,35.2,35.4,193º
Aimorés,MG,"24,937",5,13,7,5,14,7,33.4,34.8,200º
Ibirité,MG,"162,867",46,57,64,46,57,66,34.2,34.6,202º
Vespasiano,MG,"108,771",33,52,26,33,52,26,34.0,34.0,207º
Mateus Leme,MG,"28,417",3,7,14,3,11,14,28.2,32.8,220º
Belo Horizonte,MG,"2,395,785",696,803,793,714,822,819,31.9,32.8,221º
Sarzedo,MG,"27,104",5,7,12,5,7,14,29.5,32.0,234º
Santa Luzia,MG,"205,666",65,70,56,65,70,57,31.0,31.1,246º
Itaobim,MG,"20,961",6,2,10,7,2,10,28.6,30.2,260º
Janaúba,MG,"67,581",4,13,28,9,20,30,22.2,29.1,283º
Paracatu,MG,"86,153",21,17,36,21,17,36,28.6,28.6,291º
Ponte Nova,MG,"57,706",7,16,17,8,19,18,23.1,26.0,328º
Nanuque,MG,"40,716",11,8,11,11,8,11,24.6,24.6,366º
Montes Claros,MG,"370,216",70,90,106,71,92,107,23.9,24.3,372º
Sete Lagoas,MG,"218,574",33,57,54,35,58,58,22.0,23.0,399º
Nova Serrana,MG,"79,174",14,19,19,14,20,20,21.9,22.7,403º
Uberlândia,MG,"619,536",116,130,162,121,133,166,22.0,22.6,406º
Viçosa,MG,"73,333",11,26,9,11,28,9,20.9,21.8,422º
Ipatinga,MG,"243,541",55,40,45,64,42,47,19.2,20.9,440º
Buritizeiro,MG,"27,076",6,0,11,6,0,11,20.9,20.9,441º
Coronel Fabriciano,MG,"104,637",10,28,25,10,29,25,20.1,20.4,455º
Passos,MG,"107,661",2,33,26,3,34,26,18.9,19.5,476º
Pompéu,MG,"29,561",5,3,7,5,5,7,16.9,19.2,487º
Santana do Paraíso,MG,"28,641",6,5,4,6,6,4,17.5,18.6,508º
Patos de Minas,MG,"140,950",18,24,25,20,27,27,15.8,17.5,540º
Sabará,MG,"127,897",19,8,38,21,8,38,16.9,17.5,543º
Várzea da Palma,MG,"36,439",7,1,11,7,1,11,17.4,17.4,547º
Patrocínio,MG,"83,882",16,10,13,18,11,13,15.5,16.7,566º
Caratinga,MG,"86,364",6,17,16,7,19,17,15.1,16.6,570º
João Pinheiro,MG,"45,848",8,1,10,8,3,11,13.8,16.0,594º
Teófilo Otoni,MG,"135,549",25,20,16,25,22,18,15.0,16.0,595º
Mantena,MG,"27,148",7,2,4,7,2,4,16.0,16.0,597º
Frutal,MG,"54,511",9,6,8,9,6,11,14.1,15.9,599º
Jaíba,MG,"34,539",1,4,8,2,5,9,12.5,15.4,610º
Muriaé,MG,"102,074",7,20,18,7,20,20,14.7,15.3,613º
Mutum,MG,"26,657",3,2,7,3,2,7,15.0,15.0,630º
Ubá,MG,"104,004",8,13,19,9,14,23,12.8,14.7,640º
Medina,MG,"20,934",2,1,0,5,4,0,4.8,14.3,658º
Pedro Leopoldo,MG,"59,670",5,9,9,6,10,9,12.8,14.0,673º
Araçuaí,MG,"36,059",0,1,9,2,3,10,9.2,13.9,679º
Unaí,MG,"78,703",7,11,13,7,11,14,13.1,13.6,689º
Campo Belo,MG,"51,900",3,8,8,4,8,9,12.2,13.5,694º
Itaúna,MG,"86,762",8,10,12,9,13,12,11.5,13.1,717º
Monte Carmelo,MG,"46,055",3,3,5,6,3,9,8.0,13.0,720º
Taiobeiras,MG,"31,457",4,3,5,4,3,5,12.7,12.7,736º
Araguari,MG,"110,983",12,12,16,14,12,16,12.0,12.6,747º
Nova Lima,MG,"83,507",5,14,11,5,15,11,12.0,12.4,758º
Visconde do Rio Branco,MG,"38,749",2,3,9,2,3,9,12.0,12.0,773º
Caraí,MG,"22,549",4,1,3,4,1,3,11.8,11.8,794º
Manhuaçu,MG,"81,455",3,15,7,5,16,7,10.2,11.5,818º
Mariana,MG,"55,353",6,4,6,6,7,6,9.6,11.4,819º
Cláudio,MG,"26,262",3,3,3,3,3,3,11.4,11.4,821º
Timóteo,MG,"82,718",4,9,13,5,10,13,10.5,11.3,828º
Belo Oriente,MG,"23,984",0,6,2,0,6,2,11.1,11.1,834º
Divinópolis,MG,"217,404",11,23,35,12,24,36,10.6,11.0,840º
Pirapora,MG,"53,832",2,8,6,2,8,7,9.9,10.5,865º
Uberaba,MG,"302,623",23,31,25,33,34,26,8.7,10.2,878º
João Monlevade,MG,"74,655",5,7,9,6,7,9,9.4,9.8,902º
Brumadinho,MG,"35,085",2,3,2,2,5,3,6.7,9.5,922º
Diamantina,MG,"46,125",5,3,4,5,3,5,8.7,9.4,931º
Juiz de Fora,MG,"525,225",33,34,70,39,37,70,8.7,9.3,943º
Manhumirim,MG,"21,587",2,0,3,2,0,4,7.7,9.3,944º
Itabira,MG,"111,514",8,10,12,8,10,12,9.0,9.0,959º
Ituiutaba,MG,"98,392",8,12,3,8,14,4,7.8,8.8,968º
Pará de Minas,MG,"85,908",4,7,7,4,9,9,7.0,8.5,982º
Lagoa da Prata,MG,"47,076",0,8,3,0,8,4,7.8,8.5,984º
Bocaiúva,MG,"47,236",4,5,3,4,5,3,8.5,8.5,988º
Conceição das Alagoas,MG,"23,932",2,2,1,3,2,1,7.0,8.4,999º
Lavras,MG,"94,228",4,8,6,5,12,6,6.4,8.1,1017º
Porteirinha,MG,"37,588",1,4,4,1,4,4,8.0,8.0,1025º
Monte Azul,MG,"21,717",1,2,0,1,4,0,4.6,7.7,1039º
Coração de Jesus,MG,"26,079",1,2,2,1,3,2,6.4,7.7,1040º
Machado,MG,"39,264",3,2,4,3,2,4,7.6,7.6,1043º
Curvelo,MG,"75,014",8,5,4,8,5,4,7.6,7.6,1050º
Coromandel,MG,"27,562",1,1,2,1,3,2,4.8,7.3,1067º
São Gotardo,MG,"32,452",1,3,2,1,3,3,6.2,7.2,1074º
Espera Feliz,MG,"23,208",0,2,2,0,2,3,5.7,7.2,1075º
Santa Bárbara,MG,"28,435",0,2,2,2,2,2,4.7,7.0,1093º
Pedra Azul,MG,"23,874",2,0,2,2,1,2,5.6,7.0,1097º
Jequitinhonha,MG,"24,317",0,0,2,2,0,3,2.7,6.9,1109º
São João del Rei,MG,"85,353",5,10,2,5,10,2,6.6,6.6,1125º
Iturama,MG,"35,308",1,3,1,1,5,1,4.7,6.6,1128º
Capelinha,MG,"35,368",5,1,1,5,1,1,6.6,6.6,1129º
Perdões,MG,"20,292",0,0,2,2,0,2,3.3,6.6,1132º
Novo Cruzeiro,MG,"30,767",1,2,2,1,3,2,5.4,6.5,1141º
Bom Despacho,MG,"46,482",1,2,3,1,3,5,4.3,6.5,1150º
Prata,MG,"26,139",0,1,2,2,1,2,3.8,6.4,1156º
Santo Antônio do Monte,MG,"26,353",0,0,1,2,1,2,1.3,6.3,1162º
Itapecerica,MG,"21,399",1,1,1,1,1,2,4.7,6.2,1166º
Januária,MG,"65,744",1,6,4,2,6,4,5.6,6.1,1178º
Guaxupé,MG,"49,792",2,1,5,2,1,6,5.4,6.0,1188º
Boa Esperança,MG,"38,734",1,1,4,1,2,4,5.2,6.0,1189º
Conselheiro Pena,MG,"22,319",1,2,1,1,2,1,6.0,6.0,1192º
São João do Paraíso,MG,"22,517",0,1,3,0,1,3,5.9,5.9,1196º
Salinas,MG,"39,550",3,1,0,4,3,0,3.4,5.9,1197º
Itambacuri,MG,"22,831",2,1,1,2,1,1,5.8,5.8,1201º
Paraopeba,MG,"22,893",2,1,1,2,1,1,5.8,5.8,1202º
Buritis,MG,"23,091",0,3,1,0,3,1,5.8,5.8,1204º
Caeté,MG,"41,423",0,1,2,0,3,4,2.4,5.6,1209º
Raul Soares,MG,"23,748",3,0,1,3,0,1,5.6,5.6,1212º
Corinto,MG,"23,819",0,2,0,2,2,0,2.8,5.6,1214º
Araxá,MG,"95,888",2,2,8,3,4,9,4.2,5.6,1217º
Ouro Branco,MG,"36,006",2,1,1,3,1,2,3.7,5.6,1220º
Inhapim,MG,"24,204",0,1,2,0,1,3,4.1,5.5,1228º
Brasília de Minas,MG,"31,356",1,2,2,1,2,2,5.3,5.3,1242º
Francisco Sá,MG,"25,116",1,1,1,1,2,1,4.0,5.3,1243º
Guanhães,MG,"31,781",0,0,3,1,1,3,3.1,5.2,1248º
Itajubá,MG,"91,643",3,3,6,3,5,6,4.4,5.1,1267º
Almenara,MG,"39,287",2,0,2,3,0,3,3.4,5.1,1268º
Carmo do Cajuru,MG,"20,444",1,0,2,1,0,2,4.9,4.9,1293º
São José da Lapa,MG,"20,524",2,1,0,2,1,0,4.9,4.9,1297º
Campos Gerais,MG,"27,760",1,2,1,1,2,1,4.8,4.8,1304º
Monte Sião,MG,"21,658",0,0,1,0,0,3,1.5,4.6,1318º
São Sebastião do Paraíso,MG,"65,984",0,3,3,2,3,4,3.0,4.5,1323º
Itabirito,MG,"46,589",2,2,1,2,2,2,3.6,4.3,1347º
Espinosa,MG,"31,134",2,0,1,2,0,2,3.2,4.3,1348º
Ibiá,MG,"23,547",0,0,1,0,1,2,1.4,4.2,1353º
Ouro Preto,MG,"70,886",0,5,2,1,5,3,3.3,4.2,1355º
São Gonçalo do Sapucaí,MG,"24,148",1,1,0,2,1,0,2.8,4.1,1367º
Carangola,MG,"32,353",2,1,0,3,1,0,3.1,4.1,1368º
São Lourenço,MG,"42,372",1,1,2,1,2,2,3.1,3.9,1386º
Pitangui,MG,"25,771",0,1,1,0,1,2,2.6,3.9,1388º
Barbacena,MG,"128,120",0,3,8,0,6,8,2.9,3.6,1403º
Arcos,MG,"37,188",2,1,0,3,1,0,2.7,3.6,1408º
Alfenas,MG,"74,804",2,2,2,2,3,3,2.7,3.6,1412º
Três Marias,MG,"29,036",1,2,0,1,2,0,3.4,3.4,1421º
Santa Rita do Sapucaí,MG,"38,734",0,1,1,1,2,1,1.7,3.4,1422º
Barão de Cocais,MG,"29,205",1,0,1,2,0,1,2.3,3.4,1426º
Rio Pardo de Minas,MG,"29,381",1,1,1,1,1,1,3.4,3.4,1429º
Congonhas,MG,"49,616",1,4,0,1,4,0,3.4,3.4,1432º
Cataguases,MG,"70,630",2,1,3,2,2,3,2.8,3.3,1435º
Paraguaçu,MG,"20,442",1,0,1,1,0,1,3.3,3.3,1438º
Leopoldina,MG,"51,286",1,1,2,2,1,2,2.6,3.2,1440º
Carmo do Rio Claro,MG,"20,531",0,1,1,0,1,1,3.2,3.2,1441º
Serro,MG,"20,809",0,0,1,1,0,1,1.6,3.2,1447º
Ouro Fino,MG,"31,893",0,0,1,0,0,3,1.0,3.1,1456º
Piumhi,MG,"32,352",0,1,1,0,2,1,2.1,3.1,1462º
Lagoa Santa,MG,"54,732",1,2,0,1,2,2,1.8,3.0,1467º
Abaeté,MG,"22,740",0,0,0,1,1,0,0.0,2.9,1476º
Bambuí,MG,"22,891",1,0,1,1,0,1,2.9,2.9,1477º
São João Nepomuceno,MG,"25,249",0,0,1,0,1,1,1.3,2.6,1495º
São Francisco,MG,"54,180",0,1,1,0,3,1,1.2,2.5,1508º
Três Corações,MG,"73,894",2,1,1,3,1,1,1.8,2.3,1523º
Carmo do Paranaíba,MG,"29,777",0,1,1,0,1,1,2.2,2.2,1525º
Extrema,MG,"30,016",1,1,0,1,1,0,2.2,2.2,1527º
Santos Dumont,MG,"46,208",0,2,0,1,2,0,1.4,2.2,1530º
Minas Novas,MG,"30,852",0,2,0,0,2,0,2.2,2.2,1531º
Itamarandiba,MG,"32,595",0,0,1,1,0,1,1.0,2.0,1538º
Formiga,MG,"65,464",2,0,2,2,0,2,2.0,2.0,1539º
Além Paraíba,MG,"34,461",0,2,0,0,2,0,1.9,1.9,1545º
Varginha,MG,"125,208",0,3,2,0,3,4,1.3,1.9,1549º
Andradas,MG,"37,920",1,1,0,1,1,0,1.8,1.8,1555º
Poços de Caldas,MG,"154,974",4,0,1,5,2,1,1.1,1.7,1556º
Conselheiro Lafaiete,MG,"118,578",2,0,1,5,0,1,0.8,1.7,1557º
Oliveira,MG,"39,801",1,0,0,1,0,1,0.8,1.7,1558º
Muzambinho,MG,"20,406",0,1,0,0,1,0,1.6,1.6,1563º
Campestre,MG,"20,707",0,0,0,0,1,0,0.0,1.6,1567º
Monte Santo de Minas,MG,"21,238",0,0,1,0,0,1,1.6,1.6,1571º
Pouso Alegre,MG,"134,215",0,3,2,0,4,2,1.2,1.5,1580º
Sacramento,MG,"24,283",1,0,0,1,0,0,1.4,1.4,1590º
São João da Ponte,MG,"25,257",0,0,0,0,0,1,0.0,1.3,1593º
Cambuí,MG,"27,020",1,0,0,1,0,0,1.2,1.2,1598º
Camanducaia,MG,"21,162",0,0,0,0,0,0,0.0,0.0,1627º
Carandaí,MG,"23,692",0,0,0,0,0,0,0.0,0.0,1627º
Caxambu,MG,"21,641",0,0,0,0,0,0,0.0,0.0,1627º
Elói Mendes,MG,"25,715",0,0,0,0,0,0,0.0,0.0,1627º
Jacutinga,MG,"23,341",0,0,0,0,0,0,0.0,0.0,1627º
Nepomuceno,MG,"25,871",0,0,0,0,0,0,0.0,0.0,1627º
Três Pontas,MG,"54,289",0,0,0,0,0,0,0.0,0.0,1627º
Tupaciguara,MG,"24,350",0,0,0,0,0,0,0.0,0.0,1627º
Abadia dos Dourados,MG,"6,743",1,1,0,1,1,0,,,
Abre Campo,MG,"13,306",0,2,2,0,2,2,,,
Acaiaca,MG,"3,925",1,0,1,1,0,1,,,
Açucena,MG,"10,093",1,2,2,1,2,2,,,
Água Boa,MG,"14,803",0,0,1,0,0,1,,,
Água Comprida,MG,"2,015",0,0,0,1,0,0,,,
Aguanil,MG,"4,129",0,0,0,0,0,0,,,
Águas Formosas,MG,"18,575",4,0,0,4,0,0,,,
Águas Vermelhas,MG,"12,850",0,1,1,0,1,2,,,
Aiuruoca,MG,"6,116",0,0,0,0,0,0,,,
Alagoa,MG,"2,696",0,0,0,0,0,0,,,
Albertina,MG,"2,924",0,0,0,0,0,0,,,
Alfredo Vasconcelos,MG,"6,223",0,0,0,0,0,0,,,
Alpercata,MG,"7,204",1,2,0,1,2,0,,,
Alpinópolis,MG,"18,709",0,0,0,0,0,0,,,
Alterosa,MG,"13,829",0,0,0,0,0,0,,,
Alto Caparaó,MG,"5,392",0,0,0,0,0,0,,,
Alto Jequitibá,MG,"8,297",0,0,0,0,0,0,,,
Alto Rio Doce,MG,"11,903",0,0,1,0,0,1,,,
Alvarenga,MG,"4,329",0,0,0,0,0,0,,,
Alvinópolis,MG,"15,212",1,0,1,1,0,1,,,
Alvorada de Minas,MG,"3,549",1,1,0,2,1,0,,,
Amparo do Serra,MG,"4,910",1,0,0,2,0,0,,,
Andrelândia,MG,"12,153",0,0,0,0,0,0,,,
Angelândia,MG,"8,084",0,0,1,0,0,1,,,
Antônio Carlos,MG,"11,151",0,0,0,0,0,0,,,
Antônio Dias,MG,"9,493",0,0,2,0,0,2,,,
Antônio Prado de Minas,MG,"1,653",0,0,0,0,0,0,,,
Araçaí,MG,"2,258",0,0,0,0,0,0,,,
Aracitaba,MG,"2,054",0,0,0,0,0,0,,,
Arantina,MG,"2,811",0,0,0,0,0,0,,,
Araponga,MG,"8,188",0,2,1,0,2,1,,,
Araporã,MG,"6,271",0,1,0,0,1,0,,,
Arapuá,MG,"2,780",0,0,0,0,0,0,,,
Araújos,MG,"8,135",0,0,0,0,0,0,,,
Arceburgo,MG,"9,732",0,0,0,0,0,0,,,
Areado,MG,"13,958",0,0,2,0,0,2,,,
Argirita,MG,"2,860",0,0,0,0,0,0,,,
Aricanduva,MG,"4,848",0,0,0,0,0,0,,,
Arinos,MG,"17,669",1,0,3,1,0,3,,,
Astolfo Dutra,MG,"13,237",1,1,0,1,1,0,,,
Ataléia,MG,"14,109",1,1,3,1,1,3,,,
Augusto de Lima,MG,"4,930",0,0,0,0,0,0,,,
Baependi,MG,"18,426",0,0,0,0,0,0,,,
Baldim,MG,"7,877",0,0,0,0,0,0,,,
Bandeira,MG,"4,938",0,0,0,0,0,0,,,
Bandeira do Sul,MG,"5,405",0,0,0,0,0,0,,,
Barão de Monte Alto,MG,"5,643",0,0,0,0,0,0,,,
Barra Longa,MG,"5,930",0,0,1,0,0,1,,,
Barroso,MG,"19,787",0,0,0,0,1,0,,,
Bela Vista de Minas,MG,"10,028",0,0,0,0,0,0,,,
Belmiro Braga,MG,"3,400",0,0,0,0,0,0,,,
Belo Vale,MG,"7,553",0,0,1,0,0,1,,,
Berilo,MG,"12,198",0,0,0,0,0,0,,,
Berizal,MG,"4,431",0,0,0,0,0,0,,,
Bertópolis,MG,"4,508",0,0,1,0,0,1,,,
Bias Fortes,MG,"3,703",0,0,1,0,0,1,,,
Bicas,MG,"13,783",0,0,0,0,0,0,,,
Biquinhas,MG,"2,602",0,0,0,0,0,0,,,
Bocaina de Minas,MG,"5,011",0,0,0,0,0,0,,,
Bom Jardim de Minas,MG,"6,480",0,0,0,0,0,0,,,
Bom Jesus da Penha,MG,"3,942",0,0,0,0,0,0,,,
Bom Jesus do Amparo,MG,"5,593",0,0,1,0,0,1,,,
Bom Jesus do Galho,MG,"15,242",0,0,3,0,0,3,,,
Bom Repouso,MG,"10,449",1,0,0,1,0,0,,,
Bom Sucesso,MG,"17,271",0,0,0,0,0,0,,,
Bonfim,MG,"6,811",0,0,0,0,0,0,,,
Bonfinópolis de Minas,MG,"5,778",0,0,0,0,1,0,,,
Bonito de Minas,MG,"9,947",0,0,1,0,0,1,,,
Borda da Mata,MG,"17,523",0,0,0,0,0,0,,,
Botelhos,MG,"14,893",0,0,0,0,0,0,,,
Botumirim,MG,"6,447",0,1,1,0,2,1,,,
Brás Pires,MG,"4,567",0,0,0,0,0,0,,,
